id,question
1,"배열 A가 주어졌을 때, 두 원소의 곱이 x와 같은 쌍이 존재하는지 찾으세요."
2,"숫자로 이루어진 문자열 'str'과 정수 'n'이 주어졌을 때, 문자열에서 'n'개의 숫자를 제거하여 가장 작은 숫자를 만드세요. 입력된 숫자들의 순서는 변경하지 마세요."
3,"주어진 숫자에 해당하는 로마 숫자를 구하세요."
4,"주어진 연결 리스트에서 k개의 노드를 역순으로 바꾸는 함수를 작성하세요 (k는 함수의 입력값)."
5,"전화기 숫자 버튼에서 각 숫자에 대응되는 가능한 모든 단어를 출력하세요."
6,"정수 배열이 주어졌을 때, 각 인덱스의 값은 원래 배열에서 해당 인덱스를 제외한 나머지 모든 원소들의 곱이 되는 배열을 반환하세요."
7,"주어진 연결 리스트와 두 개의 정수 M과 N이 주어졌을 때, M개의 노드를 유지하고 N개의 노드를 삭제한 후 이 작업을 연결 리스트 끝까지 반복하세요."
8,"여러 개의 내부 배열을 포함하는 배열이 주어졌을 때, 이를 하나의 배열로 평탄화하세요."
9,"정렬된 두 연결 리스트가 주어졌을 때, 두 리스트를 병합하여 결과가 정렬된 연결 리스트가 되도록 하세요."
10,"주어진 점들 중에서 원점으로부터 가장 짧은 거리에 있는 점을 찾으세요."
11,"32비트 부호 없는 정수의 비트를 반전시키세요."
12,"주어진 숫자가 2의 거듭제곱인지 아닌지 확인하세요."
13,"직원 계층 구조 트리에서 가장 높은 근속년수를 가진 팀의 관리자를 찾는 알고리즘을 작성하세요."
14,"두 개의 부분 문자열에 공통된 문자가 없도록 분할을 최대화하세요."
15,"주어진 정수의 제곱근을 표준 함수를 사용하지 않고 구하세요."
16,"우선순위 역전(Priority Inversion)."
17,"방향 그래프에서 사이클을 탐지하세요."
18,"연결 리스트를 재귀적으로 뒤집는 함수를 작성하세요."
19,"이진 트리가 주어졌을 때, 그 트리의 top view를 출력하세요."
20,"하나의 이진 트리가 다른 이진 트리 안에 포함되어 있는지 확인하세요."
21,"k개의 정렬된 배열을 병합하세요."
22,"각 행과 열이 정렬된 행렬이 주어졌을 때, 주어진 숫자가 이 행렬에 존재하는지 확인하세요."
23,"'{()[{])'와 같은 괄호 문자열이 주어졌을 때, 그 문자열이 올바르게 균형을 이루는지 확인하세요."
24,"어셈블리 라인 스케줄링 (동적 프로그래밍)."
25,"유명인 문제(The Celebrity Problem)."
26,"여는 괄호와 닫는 괄호로만 이루어진 문자열 S가 주어졌을 때, 가장 긴 유효한 괄호 부분 문자열의 길이를 구하세요."
27,"무한 스트림으로 제공되는 제품들이 있을 때, 주어진 시점에 가장 저렴한 10개의 제품을 출력하는 프로그램을 작성하세요."
28,"n개의 울타리가 주어졌을 때, k개의 색상으로 울타리를 칠하는 프로그램을 작성하세요. 단, 두 개의 연속된 울타리가 같은 색상일 수 없습니다."
29,"n개의 유리잔과 용량이 주어지고 목표값 k가 주어졌을 때, 정확히 k리터를 측정하는 최소 단계를 찾으세요."
30,"2D 배열이 주어졌을 때, 숫자가 오른쪽 또는 아래로 증가하는 배열을 1D 정렬된 배열로 변환하는 프로그램을 작성하세요. 고정된 메모리에서 작업해야 합니다."
31,"0과 1로 이루어진 큰 1D 배열이 주어졌을 때, 0과 1의 개수가 동일한 가장 큰 부분 배열을 찾으세요."
32,"정규화(Normalization)의 여러 유형에 대한 차이점."
33,"SQL과 NoSQL의 차이점."
34,"ACID 속성 정의."
35,"커서(Cursor)란 무엇인가요? 커서를 어떻게 사용하나요?"
36,"주어진 조건에 맞는 교통 신호를 제어하는 시스템을 설계하세요."
37,"여러 가지 분배 방법과 승리 조건을 가진 카드 게임을 설계하세요."
38,"상태 다이어그램과 작업 이동을 포함한 Trello와 같은 작업 관리 시스템을 설계하세요."
39,"변수 파티셔닝을 가진 원형 버퍼(Circular Buffer)를 설계하세요."
40,"객체 지향 프로그래밍의 주요 기능을 설명하세요."
