id,category,question
1,Virtual Interview Round,"정렬되지 않은 배열에서 kth 번째로 정렬된 요소를 반환하세요. 단, 배열을 완전히 정렬할 수 없습니다. 접근법: 각 요소를 부분적으로 처리하며 Quicksort를 적용하세요. 매번 피벗(마지막 요소)을 선택하여 그것이 (n-k-1) 번째 위치에 있는지 확인해야 합니다."
2,Virtual Interview Round,"길이가 X와 Y인 두 변이 주어지는 직사각형이 있습니다. X와 Y는 동일한 확률 분포에서 독립적인 확률 변수입니다. 또한 X 길이를 가진 정사각형이 주어집니다. 두 도형의 예상 면적을 비교하세요. 접근법: 직사각형의 면적 = XY -> 기대값 = E(XY) = E(X)E(Y) = u^2 (u = 분포의 평균). 정사각형의 면적 = X^2 -> 기대값 = E(X^2) -> 분산 공식을 적용하여 관계를 구하고 비교합니다."
3,Virtual Interview Round,"주어진 방정식: sinx = 5를 풀어보세요. 접근법: 오일러 공식을 적용하세요."
4,Virtual Interview Round,"그래프가 주어졌을 때, 그래프를 색칠할 때 필요한 최소 색상 수를 구하세요. 접근법: 그래프의 인접 행렬 표현을 고려하세요. 1은 노드 간의 간선을 나타내고, 0은 그렇지 않음을 나타냅니다. DFS를 적용하여 연결된 모든 구성 요소를 색칠할 수 있습니다. 모든 1들은 색칠해야 합니다. 이 문제는 1의 섬의 수를 구하는 문제로 축소됩니다."
5,Virtual Interview Round,"C++에서 friend function이란 무엇인가요?"
6,Virtual Interview Round,"참조와 포인터의 차이점은 무엇인가요?"
7,Virtual Interview Round,"덧셈 연산자를 사용하지 않고 두 정수를 더하는 방법은 무엇인가요? (힌트: 비트 조작을 적용하세요)"
8,Virtual Interview Round,"주사위를 굴렸을 때 얻을 수 있는 기대값은 무엇인가요?"
9,Virtual Interview Round,"주사위가 주어졌을 때, 두 번 굴릴 때 기대되는 보상은 무엇인가요? (보상은 얻은 값이며, 마지막 굴린 값만 사용합니다. 원하면 한 번 굴린 후 그만 둘 수 있습니다.)"
10,Virtual Interview Round,"삽입 정렬, 선택 정렬, 계수 정렬의 시간 복잡도와 각 정렬 방법을 사용할 때는 언제가 적합한지 설명하세요."
11,Virtual Interview Round,"주어진 수열이 수렴하는지 발산하는지 판별하세요."
12,Virtual Interview Round,"두 문자열이 비슷한 패턴을 따르는지 여부를 구하세요. 예: 'abb'와 'fzz'는 패턴을 따르지만, 'abc'와 'fzz'는 따르지 않습니다. 마찬가지로, 'abca'와 'fggf'는 따르지 않습니다. 힌트: 적절한 해싱 함수를 생각해 보세요."
13,Coding,"정렬된 배열에서 가장 긴 산술 진행의 길이를 구하세요. 예: 1 4 5 7 8 10 -> 가장 긴 AP: 1, 4, 7, 10 -> 4를 반환."
14,Coding,"가장 긴 증가하는 부분 수열을 구하세요."
15,Coding,"수학적 문제 -> CS 이론, 확률, 선형 대수."
16,Coding,"정수가 주어졌을 때, 현재 인덱스의 숫자와 해당 숫자가 일치하는 횟수가 같은지 확인하고, 같으면 1을 출력하고 다르면 0을 출력하세요. 예: 22 -> 0, 예: 2020 -> 1, 왜냐하면 0: 0은 2번, 1: 1은 0번, 2: 2는 2번, 3: 3은 0번."
17,Coding,"섞인 숫자로 된 문자열이 주어졌을 때, 이를 정렬된 형태로 출력하세요. 예: neo -> 1, 예: rneheetotow -> 123."
